District Name,District Population,Residential Energy Consumption (MU/year),Residential Energy Consumption (kWh/year),Per Capita Energy Consumption (kWh/year),Source of Energy,Carbon Emission Factor (kg CO2/kWh),Carbon Emissions (kg CO2/year),Carbon Emissions (tons CO2/year),Population Density (per sq. km),Category,Sub-District,Sub-District Population,Emission Limit (kg CO2/year),Emission Limit (kg CO2/month),Low_Threshold,Moderate_Threshold,High_Threshold
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Seven Wells (North),21002,961.1397393,80.09497828,40.04748914,72.08548045200001,80.09497828
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Amman Koil,19261,881.4642662,73.45535552,36.72767776,66.109819968,73.45535552
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Muthialpet,20239,926.2216543,77.18513786,38.59256893,69.466624074,77.18513786
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Vallal Seethakadhi Nagar,24426,1117.836362,93.15303017,46.576515085,83.837727153,93.15303017
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Katchaleeswarar Nagar,26156,1197.008429,99.75070242,49.87535121,89.775632178,99.75070242
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Seven Wells (South),19415,888.5119531,74.04266276,37.02133138,66.638396484,74.04266276
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Sowcarpet,25286,1157.193574,96.43279783,48.216398915,86.789518047,96.43279783
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Basin Bridge,32152,1471.410575,122.6175479,61.30877395,110.35579311000001,122.6175479
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Vysarpadi (South),32269,1476.764987,123.0637489,61.53187445,110.75737400999999,123.0637489
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Vysarpadi (North),41617,1904.568733,158.7140611,79.35703055,142.84265499,158.7140611
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Perambur (North),49559,2268.028013,189.0023344,94.5011672,170.10210096,189.0023344
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Perambur (East),40075,1834.000336,152.8333613,76.41668065,137.55002517,152.8333613
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Elango Nagar,52262,2391.728647,199.3107206,99.6553603,179.37964854,199.3107206
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Perambur (South),26491,1212.339436,101.0282863,50.51414315,90.92545767,101.0282863
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Thiru-Vi-Ka Nagar,35187,1610.304924,134.192077,67.0960385,120.77286930000001,134.192077
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Wadia Nagar,30573,1399.148902,116.5957418,58.2978709,104.93616762,116.5957418
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Dr.Sathiyavanimuthu Nagar,51479,2355.895278,196.3246065,98.16230325,176.69214585,196.3246065
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Pulianthope,21550,986.2185212,82.18487677,41.092438385,73.966389093,82.18487677
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Dr.Besant Nagar,27857,1274.853334,106.2377778,53.1188889,95.61400002,106.2377778
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Peddunaickenpet,15835,724.6761152,60.38967627,30.194838135,54.350708643000004,60.38967627
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Perumal Koil Garden,14291,654.0161896,54.50134913,27.250674565,49.051214217,54.50134913
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Thattankulam,17871,817.8520275,68.15433563,34.077167815,61.33890206700001,68.15433563
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Choolai,12747,583.356264,48.613022,24.306511,43.751719800000004,48.613022
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Park Town,14379,658.0434392,54.83695327,27.418476635,49.353257943,54.83695327
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Elephant Gate,18269,836.0661793,69.67218161,34.836090805,62.704963449,69.67218161
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Edapalayam,16889,772.9115825,64.40929854,32.20464927,57.968368686,64.40929854
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Agaram (North),51527,2358.09196,196.5076633,98.25383165,176.85689697,196.5076633
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Chembium,46250,2116.594274,176.3828562,88.1914281,158.74457058,176.3828562
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Siruvallur,23233,1063.239671,88.60330592,44.30165296,79.742975328,88.60330592
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Nagamaniammaiyar Nagar (North),23831,1090.606663,90.88388858,45.44194429,81.795499722,90.88388858
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Agaram (South),39058,1787.458144,148.9548453,74.47742265,134.05936076999998,148.9548453
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Viduthalai Gurusamy Nagar,23220,1062.644736,88.553728,44.276864,79.69835520000001,88.553728
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Ayanavaram,38123,1744.668616,145.3890513,72.69452565,130.85014617000002,145.3890513
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Naganmaniammayar Nagar (South),21805,997.8883923,83.15736603,41.578683015,74.841629427,83.15736603
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Panneerselvam Nagar,30577,1399.331959,116.6109966,58.3054983,104.94989694,116.6109966
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Maraimalai Adigal Nagar (North),23595,1079.806311,89.98385925,44.991929625,80.985473325,89.98385925
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Maraimalai Adigal Nagar (South),29821,1364.734224,113.727852,56.863926,102.3550668,113.727852
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Purasawalkam,17321,792.6817172,66.05680977,33.028404885,59.451128793,66.05680977
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Kolathur,110474,5055.754288,421.3128573,210.65642865,379.18157157,421.3128573
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Villivakkam (North),81648,3736.555444,311.3796203,155.68981015,280.24165827,311.3796203
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Villivakkam (South),72144,3301.612482,275.1343735,137.56718675,247.62093614999998,275.1343735
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Virugambakkam (North),95564,4373.410058,364.4508382,182.2254191,328.00575438000004,364.4508382
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Anna Nagar (West),50926,2330.587676,194.2156397,97.10781985,174.79407573,194.2156397
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Anna Nagar (Central),37331,1708.42337,142.3686142,71.1843071,128.13175278,142.3686142
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Anna Nagar (East),32999,1510.172853,125.8477378,62.9238689,113.26296402000001,125.8477378
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Shenoy Nagar,27133,1241.720053,103.4766711,51.73833555,93.12900399,103.4766711
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Kilpauk (North),26313,1204.193408,100.3494507,50.17472535,90.31450563000001,100.3494507
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Gangadeeswarar Koil,12091,553.3349485,46.11124571,23.055622855,41.500121139,46.11124571
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Kilpauk (South),32446,1484.86525,123.7387708,61.8693854,111.36489372,123.7387708
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Aminjikarai (East),22662,1037.108312,86.42569267,43.212846335,77.783123403,86.42569267
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Aminjikarai (Central),56960,2606.728861,217.2274051,108.61370255,195.50466459,217.2274051
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Aminjikarai (West),60126,2751.61832,229.3015267,114.65076335,206.37137403000003,229.3015267
